;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
2,22,Herschel
4,17,Herschel
4,19,Herschel
4,20,Herschel
5,18,Herschel
5,19,Herschel
5,20,Herschel
5,22,Herschel
6,18,Herschel
6,19,Herschel
6,20,Herschel
7,17,Herschel
7,18,Herschel
7,19,Herschel
7,20,Herschel
7,21,Herschel
7,22,Herschel
8,17,Herschel
8,18,Herschel
8,19,Herschel
8,20,Herschel
8,21,Herschel
8,22,Herschel
9,17,Herschel
9,18,Herschel
9,19,Herschel
9,20,Herschel
9,21,Herschel
9,22,Herschel
10,17,Herschel
10,18,Herschel
10,19,Herschel
11,17,Herschel
11,18,Herschel
11,19,Herschel
11,20,Herschel
11,21,Herschel
11,22,Herschel
12,18,Herschel
12,19,Herschel
12,20,Herschel
12,21,Herschel
12,22,Herschel
13,17,Herschel
13,18,Herschel
13,19,Herschel
14,17,Herschel
14,19,Herschel
14,20,Herschel
14,21,Herschel
15,17,Herschel
15,18,Herschel
15,19,Herschel
15,20,Herschel
15,21,Herschel
16,17,Herschel
16,18,Herschel
16,19,Herschel
16,20,Herschel
16,21,Herschel
16,22,Herschel
17,17,Herschel
17,18,Herschel
17,19,Herschel
17,20,Herschel
18,17,Herschel
18,18,Herschel
18,19,Herschel
18,20,Herschel
18,22,Herschel
19,17,Herschel
19,18,Herschel
19,19,Herschel
19,20,Herschel
20,17,Herschel
20,18,Herschel
20,19,Herschel
20,20,Herschel
20,21,Herschel
20,22,Herschel
21,17,Herschel
21,18,Herschel
21,20,Herschel
22,17,Herschel
22,18,Herschel
22,19,Herschel
22,20,Herschel
22,21,Herschel
22,22,Herschel
23,17,Herschel
23,18,Herschel
23,19,Herschel
23,20,Herschel
23,21,Herschel
23,22,Herschel
25,17,Herschel
25,18,Herschel
25,19,Herschel
25,20,Herschel
25,22,Herschel
24,17,Herschel
24,18,Herschel
24,19,Herschel
24,20,Herschel
24,21,Herschel
26,17,Herschel
26,18,Herschel
26,19,Herschel
26,20,Herschel
27,17,Herschel
27,18,Herschel
27,19,Herschel
27,20,Herschel
28,17,Herschel
28,18,Herschel
28,19,Herschel
28,20,Herschel
29,17,Herschel
29,18,Herschel
29,19,Herschel
29,20,Herschel
29,21,Herschel
29,22,Herschel
